run,source,idx,true_vuln,predicted_vuln,predicted_confidence,cwe
0,primevul_ImageMagick6_450949ed017f009b399c937cf362f0058eacc5fa,194989,1,0,9,["CWE-190"]
1,primevul_ImageMagick6_450949ed017f009b399c937cf362f0058eacc5fa,218785,0,1,8,["CWE-190"]
2,primevul_tensorflow_c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,194994,1,0,8,["CWE-401"]
3,primevul_tensorflow_c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,218852,0,0,8,["CWE-401"]
4,primevul_tensorflow_4f38b1ac8e42727e18a2f0bde06d3bee8e77b250,194996,1,1,8,["CWE-476"]
5,primevul_tensorflow_4f38b1ac8e42727e18a2f0bde06d3bee8e77b250,218933,0,1,8,["CWE-476"]
6,primevul_tensorflow_240655511cd3e701155f944a972db71b6c0b1bb6,194998,1,0,9,["CWE-617"]
7,primevul_tensorflow_240655511cd3e701155f944a972db71b6c0b1bb6,219032,0,0,9,["CWE-617"]
8,primevul_gpac_ad18ece95fa064efc0995c4ab2c985f77fb166ec,195017,1,1,9,["CWE-476"]
9,primevul_gpac_ad18ece95fa064efc0995c4ab2c985f77fb166ec,219912,0,1,8,["CWE-476"]
10,primevul_tensorflow_6b5adc0877de832b2a7c189532dbbbc64622eeb6,195019,1,0,9,["CWE-617"]
11,primevul_tensorflow_6b5adc0877de832b2a7c189532dbbbc64622eeb6,219931,0,1,8,["CWE-617"]
12,primevul_tensorflow_a68f68061e263a88321c104a6c911fe5598050a8,195023,1,0,9,["CWE-190"]
13,primevul_tensorflow_a68f68061e263a88321c104a6c911fe5598050a8,220021,0,0,9,["CWE-190"]
14,primevul_linux_ab0fc21bc7105b54bafd85bd8b82742f9e68898a,195026,1,0,8,["CWE-909"]
15,primevul_linux_ab0fc21bc7105b54bafd85bd8b82742f9e68898a,220100,0,1,8,["CWE-909"]
16,primevul_tensorflow_ab51e5b813573dc9f51efa335aebcf2994125ee9,195028,1,0,9,["CWE-401"]
17,primevul_tensorflow_ab51e5b813573dc9f51efa335aebcf2994125ee9,220168,0,1,8,["CWE-401"]
18,primevul_tensorflow_c99d98cd189839dcf51aee94e7437b54b31f8abd,195029,1,0,9,["CWE-125"]
19,primevul_tensorflow_c99d98cd189839dcf51aee94e7437b54b31f8abd,220201,0,1,7,["CWE-125"]
20,primevul_mruby_27d1e0132a0804581dca28df042e7047fd27eaa8,195038,1,1,9,["CWE-476"]
21,primevul_mruby_27d1e0132a0804581dca28df042e7047fd27eaa8,220442,0,1,9,["CWE-476"]
